Source,Target,Musica
aracaju,natal,"abrindo e fechando"
aracaju,salvador,"sossego"
aracaju,natal,"la raba"
aracaju,teresina,"la raba"
aracaju,teresina,"eta (empina essa rabeta) - ao vivo"
aracaju,salvador,"quanto custa?"
aracaju,florianopolis,"vou te amar o ano inteiro - ao vivo"
aracaju,joao pessoa,"vou te amar o ano inteiro - ao vivo"
aracaju,maceio,"vou te amar o ano inteiro - ao vivo"
aracaju,sao luis,"vou te amar o ano inteiro - ao vivo"
aracaju,natal,"amor da sua vida - ao vivo"
aracaju,salvador,"ei olha o som (empinadinha) - ao vivo"
aracaju,natal,"toma conta de mim"
aracaju,brasilia,"o doce - acustico em trancoso / ao vivo"
aracaju,florianopolis,"o doce - acustico em trancoso / ao vivo"
aracaju,joao pessoa,"o doce - acustico em trancoso / ao vivo"
aracaju,maceio,"o doce - acustico em trancoso / ao vivo"
aracaju,sao luis,"o doce - acustico em trancoso / ao vivo"
aracaju,manaus,"ficar numa boa"
aracaju,teresina,"ficar numa boa"
aracaju,recife,"tudo que eu queria"
aracaju,joao pessoa,"absurda"
aracaju,sao luis,"absurda"
aracaju,natal,"pode balanca"
aracaju,belo horizonte,"acalanto"
aracaju,brasilia,"taquita"
aracaju,florianopolis,"taquita"
aracaju,joao pessoa,"taquita"
aracaju,maceio,"taquita"
aracaju,sao luis,"taquita"
aracaju,joao pessoa,"sentimental"
aracaju,sao luis,"sentimental"
aracaju,fortaleza,"voce chegou"
aracaju,manaus,"voce chegou"
aracaju,palmas,"voce chegou"
aracaju,teresina,"voce chegou"
aracaju,salvador,"o amor ta ai"
aracaju,natal,"disputa das potrancas"
aracaju,rio branco,"disputa das potrancas"
aracaju,teresina,"disputa das potrancas"
aracaju,natal,"mamacita"
aracaju,teresina,"mamacita"
aracaju,teresina,"acucar ou adocante"
aracaju,teresina,"sem vacilacao"
aracaju,natal,"tome baby"
aracaju,fortaleza,"nossa cancao"
aracaju,salvador,"desca dai seu corno"
aracaju,rio branco,"aquecimento da taina costa"
aracaju,teresina,"aquecimento da taina costa"
aracaju,natal,"deixa lenta"
aracaju,palmas,"deixa lenta"
aracaju,rio branco,"deixa lenta"
aracaju,teresina,"deixa lenta"
aracaju,fortaleza,"carta branca"
aracaju,natal,"carta branca"
aracaju,natal,"nao insista"
aracaju,teresina,"nao insista"
aracaju,natal,"ta rocheda"
aracaju,palmas,"ta rocheda"
aracaju,rio branco,"ta rocheda"
aracaju,teresina,"ta rocheda"
belem,brasilia,"fuego"
belem,goiania,"fuego"
belem,sao paulo,"fuego"
belem,brasilia,"papel amassado - na praia 2 / ao vivo"
belem,cuiaba,"papel amassado - na praia 2 / ao vivo"
belem,florianopolis,"papel amassado - na praia 2 / ao vivo"
belem,goiania,"papel amassado - na praia 2 / ao vivo"
belem,joao pessoa,"papel amassado - na praia 2 / ao vivo"
belem,maceio,"papel amassado - na praia 2 / ao vivo"
belem,porto velho,"papel amassado - na praia 2 / ao vivo"
belem,sao luis,"papel amassado - na praia 2 / ao vivo"
